|b'RT @nprpolitics: "Vladimir Putin is not our friend and never has been. Nor does he want to be our friend," Sen. Richard Burr, the chairman\xe2\x80\xa6'|,b'Positive'
|b'RT @ProudResister: July 16, 2018: The day Trump committed #Treason in front of the world and the Republican party STILL defended him.\n\nNove\xe2\x80\xa6'|,b'Positive'
|b'RT @SnakeOilPrez: Trump showed up late for G7 &amp; NATO meetings. He was 12 minutes late to meet the Queen of England, for Christsake. \n\nYet h\xe2\x80\xa6'|,b'Negative'
b'RT @plantlady293: Proof is obvious now. Former Obama Administration including Clapper and Brennan asking Trump Administration to violate la\xe2\x80\xa6',b'Positive'
b'RT @SethAbramson: (THREAD) Some people are clearly still confused about what happened today. Trump didn\'t "as good as" out himself as a Rus\xe2\x80\xa6',b'Negative'
|b"RT @Oregonian: Republicans, Democrats come together in condemning Trump's remarks siding with Putin https://t.co/rYzEOwSgEx https://t.co/tT\xe2\x80\xa6"|,b'Positive'
b'RT @Jdarcey13Jon: Trump is having a republican only meeting with members of Congress tomorrow. NO MORE SECRET MEETINGS. A Dem must be there\xe2\x80\xa6',b'Negative'
|b'RT @openculture: 8 days before the election, Clinton outlines all of the ways Trump is beholden to Putin. What went down in Helsinki should\xe2\x80\xa6'|,b'Negative'
|b'RT @ProudResister: July 16, 2018: The day Trump committed #Treason in front of the world and the Republican party STILL defended him.\n\nNove\xe2\x80\xa6'|,b'Positive'
b'@Army_Of_Trump @LindaRoger13 @That_1_Dev @Samuraisurfer53 @realDonaldTrump I don\xe2\x80\x99t have a tv. And you\xe2\x80\x99re still a traitor and a Trumpsucker.',b'Positive'
|b'RT @_ImperatorRex_: Trump Tweet, 19 October 2017\n\nHE KNOWS\n\nhttps://t.co/WNBCfqO1ZD https://t.co/5pnMy2tuls'|,b'Positive'
|b'RT @jonswaine: On the day a Russian agent is charged with infiltrating the NRA, the Trump administration announces the NRA and similar grou\xe2\x80\xa6'|,b'Positive'
b'RT @negrialbe: Alberto Negri - L\xe2\x80\x99unica certezza di Trump dopo il vertice con Putin: strangolare l\xe2\x80\x99Iran\nhttps://t.co/6QqtGCTh9c',b'Positive'
|b'RT @LittleMissLizz: Trump: \xe2\x80\x9cI\xe2\x80\x99m gonna meet w/ Putin.\xe2\x80\x9d\nGOP: \xe2\x80\x9cAww.\xe2\x80\x9d\nTrump: \xe2\x80\x9cI\xe2\x80\x99m gonna meet w/ Putin next week.\xe2\x80\x9d\nGOP: \xe2\x80\x9cLook at you, cutie! Doi\xe2\x80\xa6'|,b'Positive'
|b'RT @waltshaub: Literal collusion caught on video today: \xe2\x80\x9c[I]n refusing to acknowledge the plain facts about Russia\xe2\x80\x99s behavior, while trashi\xe2\x80\xa6'|,b'Negative'
